what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1347483892274
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1347483892276
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1347483892277
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1347483892278
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1347483892279
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1347483892281
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1347483892281
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1347483892282
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1347483892284
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1347483892285
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1347483892286
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1347483892287
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1347483892288
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1347483892289
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1347483892290
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1347483892291
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1347483892292
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1347483892295
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1347483892295
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1347483892296
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1347483892297
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1347483892300
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1347483892301
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1347483892302
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1347483892303
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1347483892304
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1347483892306
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1347483892307
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1347483892309
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1347483892310
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1347483892312
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1347483892313
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1347483892314
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1347483892315
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1347483892316
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1347483892318
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1347483892319
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1347483892320
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1347483892322
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1347483892324
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1347483892325
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1347483892328
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1347483892329
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1347483892331
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1347483892332
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1347483892338
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1347483892339
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1347483892339
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1347483892340
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1347483892341
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1347483892343
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1347483892344
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1347483892344
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1347483892346
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1347483892348
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1347483892349
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1347483892349
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1347483892351
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1347483892352
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1347483892354
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1347483892355
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1347483892357
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1347483892358
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1347483892360
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1347483892361
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1347483892363
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1347483892365
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1347483892366
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1347483892369
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1347483892373
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1347483892375
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1347483892376
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1347483892379
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1347483892380
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1347483892381
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1347483892383
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1347483892385
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1347483892386
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1347483892387
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1347483892388
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1347483892388
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1347483892390
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1347483892391
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1347483892391
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1347483892391
os,sysinfo,,,"win32",1347483892397
arch,sysinfo,,,"x86_64",1347483892398
ws,sysinfo,,,"win32",1347483892398
locale,sysinfo,,,"en_US",1347483892398
processors,sysinfo,,,"8",1347483892398
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347483892398
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1347483892398
java.specification.name,sysinfo,,,"Java Platform API Specification",1347483892398
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347483892398
java.specification.version,sysinfo,,,"1.6",1347483892398
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347483892398
java.version,sysinfo,,,"1.6.0_32",1347483892398
java.vm.info,sysinfo,,,"mixed mode",1347483892398
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1347483892398
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347483892398
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347483892398
java.vm.specification.version,sysinfo,,,"1.0",1347483892398
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1347483892398
java.vm.version,sysinfo,,,"20.7-b02",1347483892398
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1347483892406
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1347483893493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347483963172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347483966016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347483966803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347483997443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1347484002403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484002684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484002735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484006614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484026440
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1347484032570
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1347484032574
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1347484037693
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1347484038088
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1347484039423
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1347484039590
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1347484039949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484061480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484076365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347484098693
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1347484144066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485468251
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1347485471917
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1347485471968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485475877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485680267
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347485680284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485681552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485692900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485693999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485932329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485933140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485935625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347485938896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486433825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486439192
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1347486439454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486440963
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1347486444575
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347486453322
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1347486454134
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1347486454200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347486454340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486454666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486455383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486461525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486475915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486476763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486480694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486490056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486493165
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1347486497737
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1347486497990
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1347486498066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486498931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486508116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486509322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486545965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486551211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486552958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486554104
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347486555522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486561010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486561781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486570212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486571631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486574868
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1347486579618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486585106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486590158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486617383
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1347486620565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347486620600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486622093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486653734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486659398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486662860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486674379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486675300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486717756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347486720094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486722045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486729168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486731267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486741187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347486743309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486744651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486745621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486749424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486753253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486758962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486759611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486760965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486761885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486769959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486810439
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347486812918
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347486815010
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347486815114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347486816106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347486817263
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1347486818391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1347486819648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1347486823768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486834272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347486838868
